Model,Feature_details,RMSE,R^2_train,R^2_test,4_Fold_Validation,5_Fold_Validation,Note
Multiple Linear Regression,"['F', 'PCA']",2.3306346958209962,0.14364381607557053,0.14702523335814144,0.13430540957283757,0.13908915230344285,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['F', 'DCA']",2.5212871061749356,0.008551491014587409,0.001765961821483808,-0.004338600485901262,0.0028313501292226207,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['F', 'PT']",2.4712852112472006,0.04597038249745389,0.04096709275045085,0.0342772048485637,0.040387142869040035,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['F', 'SD']",2.519787277627623,0.00999597810094044,0.002953240011906888,-0.0038537595757337784,0.004185137160136909,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['F', 'E']",3.383310745972402,0.03809045006845624,-0.7975109517988053,-2.414770125271714,-2.392946689158614,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['PCA', 'DCA']",2.3292936562746904,0.14275225173354844,0.14800654871036356,0.13502319204301338,0.13850059566462544,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['PCA', 'PT']",2.287320776855564,0.17067837969807542,0.17843502023138724,0.16425907643494633,0.16727453720292432,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['PCA', 'SD']",2.3305130124776827,0.14131983941223536,0.1471142993211786,0.134063766584146,0.13753555897135347,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['PCA', 'E']",2.761014756546143,0.15371748468577684,-0.1970856490092412,-1.0414858403250198,-1.0263884082075445,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['DCA', 'PT']",2.4705186668705474,0.03943380526492002,0.041561947011305,0.034833439931577115,0.036478698505614096,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['DCA', 'SD']",2.5181534160032357,0.003618972341161486,0.004245816023787152,-0.00243430419858498,0.0006984197284052085,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['DCA', 'E']",3.4085426374493957,0.032532270639444416,-0.8244217065948838,-2.5139913306301693,-2.446263147350018,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['PT', 'SD']",2.4691134330463242,0.04093809464177156,0.04265195822995593,0.035734414531022024,0.03792509803385844,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['PT', 'E']",3.3713788508457325,0.07031650071273854,-0.7848547732592812,-2.4576254157246864,-2.3953063588664096,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['SD', 'E']",3.3999749373644725,0.03354226638404889,-0.8152615143742434,-2.4985839348964576,-2.4240283966698235,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TS', 'TM', 'F']",2.2002334960030914,0.18783998669712532,0.23980446774717,0.19206319793980434,0.19328057609567628,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'TM', 'PCA']",2.1657333391749543,0.2251461126728489,0.2634576332443257,0.22430520162643042,0.22619354799277597,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'TM', 'DCA']",2.1963955382055023,0.1886785040415241,0.24245423535826083,0.19348548957480433,0.19433583999634135,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'TM', 'PT']",2.1652004782676766,0.21379947042150083,0.2638200290611319,0.21869078519858617,0.21888720184398056,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'TM', 'SD']",2.197567083014466,0.18854488280387538,0.2416458786792668,0.19317272045771175,0.1944179211277395,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'TM', 'E']",2.6168464474367195,0.19880729628025784,-0.07533615552772854,-0.8695725429976777,-0.8293309692381845,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'F', 'PCA']",2.32145791501427,0.14913400118272002,0.15372911717505333,0.14026281361674972,0.1448591188430167,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'F', 'DCA']",2.495591422071853,0.024686825982378813,0.022009272440464578,0.013280397744887429,0.019580261472469253,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'F', 'PT']",2.4477684772365382,0.06061602541741873,0.059132550183953025,0.05019275740685164,0.055532346470317816,"Test_Size = 0.2, Number_Feature = 3"
Multiple Linear Regression,"['TS', 'F', 'SD']",2.4939977504015087,0.026197045768517002,0.02325795317154411,0.01392386772225973,0.02101884613011986,"Test_Size = 0.2, Number_Feature = 3"
